invoice,description,quantity,unit_price,total,category
invoice_2001321 (1).pdf,Banana,5.0,40.0,200.0,COGS
invoice_2001321 (1).pdf,Computer Repairing,3.0,12.0,36.0,Labour
invoice_2001321 (1).pdf,Bicoff Spread,1.0,25.0,25.0,COGS
invoice_2001321 (1).pdf,Arepas,7.0,50.0,350.0,COGS
invoice_2001321 (1).pdf,Empanadas,1.0,25.0,25.0,COGS
invoice_2001321 (1).pdf,Rissoto,1.0,45.0,45.0,COGS
invoice_2001321 (1).pdf,Dog collar,25.0,45.0,1125.0,COGS
invoice_2001321 (1).pdf,Water 1 ltr,1.0,12.0,12.0,COGS
invoice_2001321 (1).pdf,Power Bank,1.0,25.0,25.0,Other
invoice_2001321.pdf,Professional Services,5.0,100.0,500.0,Labour
invoice_2001321.pdf,Equipment Rental,3.0,20.0,60.0,Overhead
invoice_2001321.pdf,Training Session,1.0,25.0,25.0,Labour
invoice_2001321.pdf,Setup Fee,7.0,50.0,350.0,COGS
Invoice-CGXLHMI9-0001.pdf,One-time credit purchase,1.0,5.0,5.0,Overhead
INVOICE-1000666452.pdf,Arduino UNO R3,1.0,49.02,49.02,COGS
INVOICE-1000666452.pdf,Professional Solderless Breadboard BB400 - 400 Tie Points (Metal Backing Plate),1.0,9.55,9.55,COGS
INVOICE-1000666452.pdf,LED and Resistor Pack,1.0,3.15,3.15,COGS
INVOICE-1000666452.pdf,Resistor 220 Ohm 1/4th Watt PTH,8.0,0.1,0.8,COGS
INVOICE-1000666452.pdf,Resistor 10K Ohm 1/6th Watt PTH - 20 Pack,1.0,1.65,1.65,COGS
INVOICE-1000666452.pdf,Multicolor Buttons - 4-Pack,1.0,3.5,3.5,COGS
INVOICE-1000666452.pdf,DHT22 Module (Temperature and Humidity),1.0,9.55,9.55,COGS
INVOICE-1000666452.pdf,Capacitive Soil Moisture Sensor (V2.0),1.0,2.95,2.95,COGS
INVOICE-1000666452.pdf,"9G Micro Servo - FS90 (180 Degree, 1.5KG/CM)",1.0,5.7,5.7,COGS
INVOICE-1000666452.pdf,USB Cable A-B for Arduino,1.0,3.2,3.2,COGS
INVOICE-1000666452.pdf,Shipping (eParcel Standard),1.0,10.67,10.67,Other
Invoice-450077.pdf,Rental Fees - Mid Size Car Sedan Hybrid Toyota Corolla,2.0,72.0,144.0,Overhead
Invoice-450077.pdf,Unlimited kms,2.0,0.0,0.0,Overhead
Invoice-450077.pdf,Excess Reduction 25-69 $330,2.0,12.5,25.0,Overhead
Invoice.pdf,Guest; Day Morning tea,50.0,75.0,3750.0,COGS
Invoice.pdf,Guest; Day H.Beverages,50.0,6.0,300.0,COGS
Invoice.pdf,Floral bouquet,5.0,80.0,400.0,Other
Invoice.pdf,Security,5.75,35.0,201.3,Labour
Invoice.pdf,Notepads and pens,50.0,8.0,400.0,Other
Invoice.pdf,Features rent,1.0,500.0,500.0,Overhead
